Transaction_ID;Date;Department;Project_Name;Category;Budget_Allocated;Actual_Spending;Revenue_Generated;Status
TRX-001;12/01/2024;IT Transformation;Pengembangan LMS Telkom;Lisensi;250000000;245000000;0;Selesai
TRX-002;15/01/2024;Learning Dev;Pelatihan Digital Transformation;Vendor Fee;120000000;135000000;180000000;Selesai
TRX-003;20/01/2024;Leadership Center;Leadership Executive Batch 5;Sewa Venue;300000000;290000000;0;Selesai
TRX-004;25/01/2024;Digital Talent;Sertifikasi Cloud Computing;Honorarium;80000000;85000000;100000000;Selesai
TRX-005;02/02/2024;Admin & Finance;Workshop AI Bisnis;Konsumsi;15000000;12000000;0;Selesai
TRX-006;08/02/2024;Learning Dev;Pelatihan Soft Skill;Marketing;45000000;50000000;60000000;Selesai
TRX-007;14/02/2024;IT Transformation;Pengembangan LMS Telkom;Operasional;60000000;58000000;0;Selesai
TRX-008;22/02/2024;Leadership Center;Leadership Executive Batch 5;Honorarium;150000000;165000000;0;Selesai
TRX-009;01/03/2024;Digital Talent;Workshop AI Bisnis;Vendor Fee;200000000;190000000;250000000;Selesai
TRX-010;05/03/2024;Admin & Finance;Pelatihan Soft Skill;Sewa Venue;35000000;35000000;0;Dibatalkan
TRX-011;12/03/2024;Learning Dev;Pelatihan Digital Transformation;Konsumsi;25000000;28000000;40000000;Selesai
TRX-012;18/03/2024;IT Transformation;Sertifikasi Cloud Computing;Lisensi;400000000;410000000;0;Berjalan
TRX-013;25/03/2024;Leadership Center;Leadership Executive Batch 5;Marketing;20000000;25000000;0;Selesai
TRX-014;02/04/2024;Digital Talent;Pengembangan LMS Telkom;Vendor Fee;450000000;440000000;0;Berjalan
TRX-015;10/04/2024;Admin & Finance;Pelatihan Digital Transformation;Operasional;15000000;14000000;0;Selesai
TRX-016;15/04/2024;Learning Dev;Sertifikasi Cloud Computing;Honorarium;90000000;95000000;120000000;Selesai
TRX-017;22/04/2024;IT Transformation;Workshop AI Bisnis;Sewa Venue;100000000;110000000;0;Selesai
TRX-018;28/04/2024;Leadership Center;Pelatihan Soft Skill;Konsumsi;12000000;11500000;0;Selesai
TRX-019;05/05/2024;Digital Talent;Leadership Executive Batch 5;Vendor Fee;280000000;270000000;350000000;Selesai
TRX-020;12/05/2024;Admin & Finance;Pengembangan LMS Telkom;Lisensi;150000000;155000000;0;Berjalan
TRX-021;18/05/2024;Learning Dev;Workshop AI Bisnis;Marketing;30000000;32000000;45000000;Selesai
TRX-022;25/05/2024;IT Transformation;Pelatihan Digital Transformation;Honorarium;110000000;100000000;0;Selesai
TRX-023;01/06/2024;Leadership Center;Sertifikasi Cloud Computing;Operasional;50000000;55000000;0;Selesai
TRX-024;07/06/2024;Digital Talent;Pelatihan Soft Skill;Sewa Venue;40000000;38000000;50000000;Selesai
TRX-025;14/06/2024;Admin & Finance;Leadership Executive Batch 5;Konsumsi;20000000;22000000;0;Dibatalkan
TRX-026;21/06/2024;Learning Dev;Pengembangan LMS Telkom;Vendor Fee;500000000;480000000;0;Berjalan
TRX-027;28/06/2024;IT Transformation;Workshop AI Bisnis;Lisensi;180000000;190000000;0;Selesai
TRX-028;03/07/2024;Leadership Center;Pelatihan Digital Transformation;Marketing;25000000;24000000;0;Selesai
TRX-029;10/07/2024;Digital Talent;Sertifikasi Cloud Computing;Honorarium;130000000;140000000;170000000;Selesai
TRX-030;17/07/2024;Admin & Finance;Pelatihan Soft Skill;Operasional;10000000;11000000;0;Selesai
TRX-031;24/07/2024;Learning Dev;Leadership Executive Batch 5;Sewa Venue;350000000;360000000;450000000;Selesai
TRX-032;01/08/2024;IT Transformation;Pengembangan LMS Telkom;Konsumsi;18000000;17500000;0;Selesai
TRX-033;08/08/2024;Leadership Center;Workshop AI Bisnis;Vendor Fee;220000000;215000000;0;Berjalan
TRX-034;15/08/2024;Digital Talent;Pelatihan Digital Transformation;Lisensi;140000000;145000000;200000000;Selesai
TRX-035;22/08/2024;Admin & Finance;Sertifikasi Cloud Computing;Marketing;55000000;60000000;0;Selesai
TRX-036;29/08/2024;Learning Dev;Pelatihan Soft Skill;Honorarium;70000000;68000000;90000000;Selesai
TRX-037;04/09/2024;IT Transformation;Leadership Executive Batch 5;Operasional;30000000;32000000;0;Selesai
TRX-038;11/09/2024;Leadership Center;Pengembangan LMS Telkom;Sewa Venue;420000000;430000000;0;Berjalan
TRX-039;18/09/2024;Digital Talent;Workshop AI Bisnis;Konsumsi;28000000;25000000;35000000;Selesai
TRX-040;25/09/2024;Admin & Finance;Pelatihan Digital Transformation;Vendor Fee;110000000;115000000;0;Selesai
TRX-041;02/10/2024;Learning Dev;Sertifikasi Cloud Computing;Lisensi;200000000;195000000;260000000;Selesai
TRX-042;09/10/2024;IT Transformation;Pelatihan Soft Skill;Marketing;15000000;16000000;0;Selesai
TRX-043;16/10/2024;Leadership Center;Leadership Executive Batch 5;Honorarium;170000000;180000000;0;Selesai
TRX-044;23/10/2024;Digital Talent;Pengembangan LMS Telkom;Operasional;85000000;80000000;110000000;Berjalan
TRX-045;30/10/2024;Admin & Finance;Workshop AI Bisnis;Sewa Venue;130000000;125000000;0;Selesai
TRX-046;06/11/2024;Learning Dev;Pelatihan Digital Transformation;Konsumsi;32000000;35000000;48000000;Selesai
TRX-047;13/11/2024;IT Transformation;Sertifikasi Cloud Computing;Vendor Fee;380000000;400000000;0;Berjalan
TRX-048;20/11/2024;Leadership Center;Pelatihan Soft Skill;Lisensi;45000000;42000000;0;Selesai
TRX-049;27/11/2024;Digital Talent;Leadership Executive Batch 5;Marketing;60000000;65000000;85000000;Selesai
TRX-050;04/12/2024;Admin & Finance;Pengembangan LMS Telkom;Honorarium;120000000;115000000;0;Berjalan
TRX-051;08/12/2024;Learning Dev;Workshop AI Bisnis;Operasional;25000000;27000000;35000000;Selesai
TRX-052;12/12/2024;IT Transformation;Pelatihan Digital Transformation;Sewa Venue;90000000;95000000;0;Selesai
TRX-053;15/12/2024;Leadership Center;Sertifikasi Cloud Computing;Konsumsi;22000000;20000000;0;Berjalan
TRX-054;18/12/2024;Digital Talent;Pelatihan Soft Skill;Vendor Fee;55000000;58000000;75000000;Selesai
TRX-055;20/12/2024;Admin & Finance;Leadership Executive Batch 5;Lisensi;210000000;220000000;0;Berjalan
TRX-056;22/12/2024;Learning Dev;Pengembangan LMS Telkom;Marketing;40000000;38000000;0;Dibatalkan
TRX-057;24/12/2024;IT Transformation;Workshop AI Bisnis;Honorarium;140000000;145000000;0;Selesai
TRX-058;26/12/2024;Leadership Center;Pelatihan Digital Transformation;Operasional;35000000;33000000;0;Selesai
TRX-059;28/12/2024;Digital Talent;Sertifikasi Cloud Computing;Sewa Venue;160000000;170000000;220000000;Berjalan
TRX-060;30/12/2024;Admin & Finance;Pelatihan Soft Skill;Konsumsi;12000000;13000000;0;Selesai
TRX-061;02/01/2024;Learning Dev;Pelatihan Digital Transformation;Vendor Fee;135000000;142000000;190000000;Selesai
TRX-062;05/01/2024;IT Transformation;Sertifikasi Cloud Computing;Lisensi;310000000;295000000;0;Selesai
TRX-063;10/01/2024;Leadership Center;Leadership Executive Batch 5;Honorarium;185000000;190000000;0;Selesai
TRX-064;15/01/2024;Digital Talent;Workshop AI Bisnis;Sewa Venue;75000000;80000000;110000000;Selesai
TRX-065;20/01/2024;Admin & Finance;Pengembangan LMS Telkom;Operasional;45000000;42000000;0;Selesai
TRX-066;25/01/2024;Learning Dev;Pelatihan Soft Skill;Konsumsi;18000000;20000000;25000000;Selesai
TRX-067;30/01/2024;IT Transformation;Pelatihan Digital Transformation;Marketing;30000000;35000000;0;Selesai
TRX-068;05/02/2024;Leadership Center;Sertifikasi Cloud Computing;Vendor Fee;240000000;230000000;0;Selesai
TRX-069;10/02/2024;Digital Talent;Leadership Executive Batch 5;Lisensi;195000000;205000000;260000000;Selesai
TRX-070;15/02/2024;Admin & Finance;Workshop AI Bisnis;Honorarium;95000000;90000000;0;Selesai
TRX-071;20/02/2024;Learning Dev;Pengembangan LMS Telkom;Sewa Venue;380000000;400000000;0;Berjalan
TRX-072;25/02/2024;IT Transformation;Pelatihan Soft Skill;Konsumsi;14000000;13500000;0;Selesai
TRX-073;02/03/2024;Leadership Center;Pelatihan Digital Transformation;Operasional;55000000;60000000;0;Selesai
TRX-074;07/03/2024;Digital Talent;Sertifikasi Cloud Computing;Marketing;42000000;40000000;60000000;Selesai
TRX-075;12/03/2024;Admin & Finance;Leadership Executive Batch 5;Vendor Fee;320000000;310000000;0;Selesai
TRX-076;17/03/2024;Learning Dev;Workshop AI Bisnis;Lisensi;160000000;175000000;220000000;Selesai
TRX-077;22/03/2024;IT Transformation;Pengembangan LMS Telkom;Honorarium;115000000;110000000;0;Berjalan
TRX-078;27/03/2024;Leadership Center;Pelatihan Soft Skill;Sewa Venue;48000000;52000000;0;Selesai
TRX-079;01/04/2024;Digital Talent;Pelatihan Digital Transformation;Konsumsi;26000000;24000000;35000000;Selesai
TRX-080;06/04/2024;Admin & Finance;Sertifikasi Cloud Computing;Operasional;70000000;75000000;0;Dibatalkan
TRX-081;11/04/2024;Learning Dev;Leadership Executive Batch 5;Marketing;38000000;42000000;55000000;Selesai
TRX-082;16/04/2024;IT Transformation;Workshop AI Bisnis;Vendor Fee;275000000;260000000;0;Selesai
TRX-083;21/04/2024;Leadership Center;Pengembangan LMS Telkom;Lisensi;410000000;430000000;0;Berjalan
TRX-084;26/04/2024;Digital Talent;Pelatihan Soft Skill;Honorarium;65000000;60000000;80000000;Selesai
TRX-085;02/05/2024;Admin & Finance;Pelatihan Digital Transformation;Sewa Venue;95000000;105000000;0;Selesai
TRX-086;07/05/2024;Learning Dev;Sertifikasi Cloud Computing;Konsumsi;29000000;32000000;42000000;Selesai
TRX-087;12/05/2024;IT Transformation;Leadership Executive Batch 5;Operasional;40000000;38000000;0;Selesai
TRX-088;17/05/2024;Leadership Center;Workshop AI Bisnis;Marketing;32000000;35000000;0;Selesai
TRX-089;22/05/2024;Digital Talent;Pengembangan LMS Telkom;Vendor Fee;485000000;470000000;600000000;Berjalan
TRX-090;27/05/2024;Admin & Finance;Pelatihan Soft Skill;Lisensi;50000000;55000000;0;Selesai
TRX-091;01/06/2024;Learning Dev;Pelatihan Digital Transformation;Honorarium;125000000;120000000;170000000;Selesai
TRX-092;06/06/2024;IT Transformation;Sertifikasi Cloud Computing;Sewa Venue;180000000;195000000;0;Selesai
TRX-093;11/06/2024;Leadership Center;Leadership Executive Batch 5;Konsumsi;24000000;26000000;0;Selesai
TRX-094;16/06/2024;Digital Talent;Workshop AI Bisnis;Operasional;35000000;32000000;45000000;Selesai
TRX-095;21/06/2024;Admin & Finance;Pengembangan LMS Telkom;Marketing;45000000;50000000;0;Selesai
TRX-096;26/06/2024;Learning Dev;Pelatihan Soft Skill;Vendor Fee;90000000;85000000;120000000;Selesai
TRX-097;01/07/2024;IT Transformation;Pelatihan Digital Transformation;Lisensi;210000000;225000000;0;Berjalan
TRX-098;06/07/2024;Leadership Center;Sertifikasi Cloud Computing;Honorarium;145000000;140000000;0;Selesai
TRX-099;11/07/2024;Digital Talent;Leadership Executive Batch 5;Sewa Venue;370000000;385000000;500000000;Selesai
TRX-100;16/07/2024;Admin & Finance;Workshop AI Bisnis;Konsumsi;21000000;23000000;0;Selesai
TRX-101;21/07/2024;Learning Dev;Pengembangan LMS Telkom;Operasional;65000000;62000000;0;Berjalan
TRX-102;26/07/2024;IT Transformation;Pelatihan Soft Skill;Marketing;18000000;20000000;0;Dibatalkan
TRX-103;01/08/2024;Leadership Center;Pelatihan Digital Transformation;Vendor Fee;160000000;155000000;0;Selesai
TRX-104;06/08/2024;Digital Talent;Sertifikasi Cloud Computing;Lisensi;280000000;295000000;380000000;Selesai
TRX-105;11/08/2024;Admin & Finance;Leadership Executive Batch 5;Honorarium;200000000;210000000;0;Selesai
TRX-106;16/08/2024;Learning Dev;Workshop AI Bisnis;Sewa Venue;110000000;105000000;145000000;Selesai
TRX-107;21/08/2024;IT Transformation;Pengembangan LMS Telkom;Konsumsi;23000000;25000000;0;Selesai
TRX-108;26/08/2024;Leadership Center;Pelatihan Soft Skill;Operasional;38000000;35000000;0;Selesai
TRX-109;01/09/2024;Digital Talent;Pelatihan Digital Transformation;Marketing;45000000;48000000;65000000;Selesai
TRX-110;06/09/2024;Admin & Finance;Sertifikasi Cloud Computing;Vendor Fee;340000000;330000000;0;Berjalan
TRX-111;11/09/2024;Learning Dev;Leadership Executive Batch 5;Lisensi;220000000;235000000;300000000;Selesai
TRX-112;16/09/2024;IT Transformation;Workshop AI Bisnis;Honorarium;130000000;125000000;0;Selesai
TRX-113;21/09/2024;Leadership Center;Pengembangan LMS Telkom;Sewa Venue;440000000;460000000;0;Berjalan
TRX-114;26/09/2024;Digital Talent;Pelatihan Soft Skill;Konsumsi;16000000;15000000;22000000;Selesai
TRX-115;01/10/2024;Admin & Finance;Pelatihan Digital Transformation;Operasional;48000000;52000000;0;Selesai
TRX-116;06/10/2024;Learning Dev;Sertifikasi Cloud Computing;Marketing;55000000;60000000;80000000;Selesai
